dataset, firstfit, firstfitdecreasing, MBS, MBS', MBS'sampling, VNS, best known solution,d1,d2,d3,d4,d5,d6
t249_00, 91, 94, 98, 98, 90, 84, 83,0.0963855421686747,0.13253012048192772,0.18072289156626506,0.18072289156626506,0.08433734939759036,0.012048192771084338
t249_01, 91, 96, 100, 100, 90, 84, 83,0.0963855421686747,0.1566265060240964,0.20481927710843373,0.20481927710843373,0.08433734939759036,0.012048192771084338
t249_02, 92, 95, 100, 100, 90, 84, 83,0.10843373493975904,0.14457831325301204,0.20481927710843373,0.20481927710843373,0.08433734939759036,0.012048192771084338
t249_03, 93, 95, 99, 99, 91, 84, 83,0.12048192771084337,0.14457831325301204,0.1927710843373494,0.1927710843373494,0.0963855421686747,0.012048192771084338
t249_04, 92, 95, 100, 100, 91, 84, 83,0.10843373493975904,0.14457831325301204,0.20481927710843373,0.20481927710843373,0.0963855421686747,0.012048192771084338
t249_05, 93, 95, 99, 99, 91, 84, 83,0.12048192771084337,0.14457831325301204,0.1927710843373494,0.1927710843373494,0.0963855421686747,0.012048192771084338
t249_06, 92, 95, 100, 99, 90, 84, 83,0.10843373493975904,0.14457831325301204,0.20481927710843373,0.1927710843373494,0.08433734939759036,0.012048192771084338
t249_07, 92, 96, 100, 100, 91, 84, 83,0.10843373493975904,0.1566265060240964,0.20481927710843373,0.20481927710843373,0.0963855421686747,0.012048192771084338
t249_08, 92, 95, 99, 99, 90, 84, 83,0.10843373493975904,0.14457831325301204,0.1927710843373494,0.1927710843373494,0.08433734939759036,0.012048192771084338
t249_09, 91, 95, 99, 99, 90, 84, 83,0.0963855421686747,0.14457831325301204,0.1927710843373494,0.1927710843373494,0.08433734939759036,0.012048192771084338
t249_10, 93, 95, 100, 99, 90, 84, 83,0.12048192771084337,0.14457831325301204,0.20481927710843373,0.1927710843373494,0.08433734939759036,0.012048192771084338
t249_11, 94, 96, 100, 100, 91, 84, 83,0.13253012048192772,0.1566265060240964,0.20481927710843373,0.20481927710843373,0.0963855421686747,0.012048192771084338
t249_12, 92, 94, 98, 98, 90, 84, 83,0.10843373493975904,0.13253012048192772,0.18072289156626506,0.18072289156626506,0.08433734939759036,0.012048192771084338
t249_13, 93, 96, 101, 101, 90, 84, 83,0.12048192771084337,0.1566265060240964,0.21686746987951808,0.21686746987951808,0.08433734939759036,0.012048192771084338
t249_14, 93, 95, 99, 99, 90, 84, 83,0.12048192771084337,0.14457831325301204,0.1927710843373494,0.1927710843373494,0.08433734939759036,0.012048192771084338
t249_15, 91, 95, 100, 100, 90, 84, 83,0.0963855421686747,0.14457831325301204,0.20481927710843373,0.20481927710843373,0.08433734939759036,0.012048192771084338
t249_16, 92, 96, 100, 100, 90, 84, 83,0.10843373493975904,0.1566265060240964,0.20481927710843373,0.20481927710843373,0.08433734939759036,0.012048192771084338
t249_17, 92, 94, 99, 99, 90, 84, 83,0.10843373493975904,0.13253012048192772,0.1927710843373494,0.1927710843373494,0.08433734939759036,0.012048192771084338
t249_18, 92, 94, 99, 99, 90, 84, 83,0.10843373493975904,0.13253012048192772,0.1927710843373494,0.1927710843373494,0.08433734939759036,0.012048192771084338
t249_19, 94, 96, 99, 99, 91, 84, 83,0.13253012048192772,0.1566265060240964,0.1927710843373494,0.1927710843373494,0.0963855421686747,0.012048192771084338
